"industry","investor","Unicorn_Count"
"Fintech","guangzhou huiyin aofeng equity investment fund",1
"Fintech","gunosy capital",1
"Fintech","guozhong venture capital management",1
"E-commerce & direct-to-consumer","gx capital",1
"Other","h capital",1
"Hardware","haitong leading capital management",1
"Other","hanaco venture capital",1
"Cybersecurity","hanaco ventures",1
"Fintech","hanwha investment & securities",1
"Fintech","harbourvest partners",1
"Internet software & services","harrison metal",1
"Fintech","harvey golub family office",1
"Internet software & services","hca healthcare",1
"Auto & transportation","hd capital",1
"Internet software & services","hearst ventures",1
"Fintech","hedosophia",1
"Data management & analytics","helion venture partners",1
"E-commerce & direct-to-consumer","helion venture partners",1
"Internet software & services","helion venture partners",1
"Internet software & services","hellman & friedman",1
"Other","hemisphere ventures",1
"Health","highland capital management",1
"Data management & analytics","highland capital partners",1
"E-commerce & direct-to-consumer","highland capital partners",1
"Fintech","highland capital partners",1
"Internet software & services","highland capital partners",1
"Data management & analytics","highland europe",1
"Internet software & services","highland europe",1
"Travel","highland europe",1
"Artificial intelligence","hillhouse capital management",2
"Consumer & retail","hillhouse capital management",1
"E-commerce & direct-to-consumer","hillhouse capital management",1
"Edtech","hillhouse capital management",1
"Hardware","hillhouse capital management",1
"Supply chain, logistics, & delivery","hillhouse capital management",1
"Internet software & services","hillsven capital",1
"Health","hinduja group",1
"Artificial intelligence","hof capital",1
"Auto & transportation","holtzbrinck ventures",1
"Fintech","holtzbrinck ventures",1
"Artificial intelligence","homebrew",1
"Fintech","homebrew",1
"Other","honeywell",1
"Fintech","hongdao capital",1
"E-commerce & direct-to-consumer","hongtai capital holdings",1
"Artificial intelligence","hongxiu vc",1
"Edtech","hony capital",1
"Consumer & retail","horizons ventures",3
"Other","huagai capital",1
"E-commerce & direct-to-consumer","huasheng capital",1
"Health","hummingbird ventures",1
"Edtech","hundreds capital",1
"Internet software & services","hv capital",1
"Internet software & services","hyde park venture partners",1
"Supply chain, logistics, & delivery","hyde park venture partners",1
"Artificial intelligence","ia ventures",2
"Fintech","ia ventures",1
"Health","ia ventures",1
"Fintech","iag capital partners",1
"Internet software & services","icg",1
"Internet software & services","iconiq capital",6
"Data management & analytics","iconiq capital",1
"Edtech","iconiq capital",1
"Fintech","iconiq capital",1
"Supply chain, logistics, & delivery","iconiq capital",1
"Edtech","iconiq growth",1
"Internet software & services","iconiq growth",1
"E-commerce & direct-to-consumer","idg capital",3
"Fintech","idg capital",3
"Hardware","idg capital",3
"Artificial Intelligence","idg capital",2
"Edtech","idg capital",2
"Internet software & services","idg capital",2
"Mobile & telecommunications","idg capital",2
"Auto & transportation","idg capital",1
"Data management & analytics","idg capital",1
"Other","idg capital",1
"E-commerce & direct-to-consumer","idg capital partners",1
"Hardware","idg capital partners",1
"Auto & transportation","idinvest partners",1
"E-commerce & direct-to-consumer","idinvest partners",1
"Fintech","idinvest partners",1
"Other","idinvest partners",1
"Consumer & retail","ifc",1
"Supply chain, logistics, & delivery","ifly",1
"Hardware","iflytek",1
"Artificial intelligence","ignition partners",2
"Internet software & services","ignition partners",2
"Health","ikea greentech",1
"E-commerce & direct-to-consumer","imaginary ventures",1
"E-commerce & direct-to-consumer","imm investment",1
"Internet software & services","index ventures",11
"Fintech","index ventures",6
"Cybersecurity","index ventures",2
"Health","index ventures",2
"Supply chain, logistics, & delivery","index ventures",2
"Auto & transportation","index ventures",1
"Data management & analytics","index ventures",1
"E-commerce & direct-to-consumer","index ventures",1
"Mobile & telecommunications","index ventures",1
"Internet software & services","indexventures",1
"Internet software & services","india quotient",1
"Fintech","inflexion private equity",1
"Fintech","info edge",1
"E-commerce & direct-to-consumer","ingka investments",1
"Health","initialized capital",3
"Internet software & services","initialized capital",2
"Artificial intelligence","initialized capital",1
"Fintech","initialized capital",1
"Hardware","initialized capital",1
"Artificial intelligence","innovation endeavors",1
"Cybersecurity","innovation endeavors",1
"Supply chain, logistics, & delivery","innovation endeavors",1
"Mobile & telecommunications","inova ventures participacees",1
"E-commerce & direct-to-consumer","inovia capital",1
"Internet software & services","insight partners",11
"Fintech","insight partners",9
"Cybersecurity","insight partners",7
"Artificial intelligence","insight partners",4
"Data management & analytics","insight partners",4
"Health","insight partners",2
"Edtech","insight partners",1
"E-commerce & direct-to-consumer","insight partners",1
"Mobile & telecommunications","insight partners",1
"Auto & transportation","insight venture partners",1
"Consumer & retail","insight venture partners",1
"Internet software & services","insight venture partners",1
"Supply chain, logistics, & delivery","insight venture partners",1
"Artificial intelligence","insights partners",1
"Internet software & services","insights venture partners",1
"Fintech","insignia ventures partners",1
"Fintech","inspiration ventures",1
"Internet software & services","institutional venture partners",3
"Artificial intelligence","institutional venture partners",2
"Consumer & retail","institutional venture partners",1
"Edtech","institutional venture partners",1
"Fintech","institutional venture partners",1
"Supply chain, logistics, & delivery","institutional venture partners",1
"Fintech","intact ventures",1
"Artificial intelligence","intel capital",2
"Data management & analytics","intel capital",1
"Mobile & telecommunications","intel capital",1
"Fintech","international finance corporation",1
"Supply chain, logistics, & delivery","international finance corporation",1
"Supply chain, logistics, & delivery","investcorp",1
"Other","investment corporation of dubai",1
"Other","invus group",1
"Internet software & services","ion crossover partners",1
"Fintech","iq capital",1
"Cybersecurity","ireland strategic investment fund",1
"Fintech","iris capital",1
"Hardware","iris capital",1
"Fintech","israel growth partners",1
"Hardware","itech capital",1
"Supply chain, logistics, & delivery","ivision ventures",1
"Health","ivy capital",1
"Internet software & services","jackson square ventures",3
"Health","jackson square ventures",1
"Other","jafco",1
"Fintech","jafco co",1
"Mobile & telecommunications","japan post capital",1
"Edtech","javelin venture partners",1
"Fintech","javelin venture partners",1
"Internet software & services","javelin venture partners",1
"Artificial intelligence","jbv capital",1
"Supply chain, logistics, & delivery","jd capital management",1
"Mobile & telecommunications","jd digits",1
"Internet software & services","jd.com",1
"Fintech","jerusalem venture partners",1
"Auto & transportation","jiangsu sha steel group",1
"Hardware","jiangsu sha steel group",1
"Fintech","jinhui xingye",1
"Internet software & services","jmi equity",1
"Health","johnson & johnson innovation",1
"Health","jove equity partners",1
"E-commerce & direct-to-consumer","joy capital",1
"Travel","joy capital",1
"Fintech","jtc group",1
"Fintech","jump capital",4
"Edtech","jump capital",1
"E-commerce & direct-to-consumer","jungle ventures",1
"Supply chain, logistics, & delivery","just eat",1
"Other","k2 global",1
"E-commerce & direct-to-consumer","k2 ventures",2
"E-commerce & direct-to-consumer","k2vc",1
"Supply chain, logistics, & delivery","k2vc",1
"Internet software & services","k9 ventures",1
"Internet software & services","kaalari capital",1
"Internet software & services","kae capital",1
"Fintech","kalaari capital",1
"Health","kalaari capital",1
"Supply chain, logistics, & delivery","kalaari capital",1
"E-commerce & direct-to-consumer","kaszek ventures",2
"Fintech","kaszek ventures",2
"Artificial Intelligence","kaszek ventures",1
"Other","kck group",1
"Fintech","kenetic capital",1
"Health","kerala ventures",1
"Fintech","khosla ventures",3
"Health","khosla ventures",3
"Internet software & services","khosla ventures",3
"Artificial intelligence","khosla ventures",2
"Consumer & retail","khosla ventures",2
"Data management & analytics","khosla ventures",1
"E-commerce & direct-to-consumer","khosla ventures",1
"Hardware","khosla ventures",1
"Supply chain, logistics, & delivery","khosla ventures",1
"Data management & analytics","kibo ventures",1
"Internet software & services","kibo ventures",1
"Fintech","kima ventures",1
"E-commerce & direct-to-consumer","kinnevik",1
"Fintech","kinnevik",1
"Travel","kinnevik",1
"Fintech","kite ventures",1
"Internet software & services","kkr",2
"Other","kkr",2
"Artificial intelligence","kkr",1
"Cybersecurity","kkr",1
"E-commerce & direct-to-consumer","kkr",1
"Fintech","kkr",1
"Supply chain, logistics, & delivery","kkr",1
"Internet software & services","kleiner perkins caufield & byers",8
"Fintech","kleiner perkins caufield & byers",3
"Health","kleiner perkins caufield & byers",2
"Mobile & telecommunications","kleiner perkins caufield & byers",2
"Artificial intelligence","kleiner perkins caufield & byers",1
"Data management & analytics","kleiner perkins caufield & byers",1
"Supply chain, logistics, & delivery","kleiner perkins caufield & byers",1
"Other","kleiner perkins caulfield & byers",1
"Internet software & services","knox lane",1
"Cybersecurity","koch disruptive technologies",1
"Fintech","koch disruptive technologies",1
"Health","koch disruptive technologies",1
"Hardware","korelya capital",1
"Fintech","kraken ventures",1
"Supply chain, logistics, & delivery","krungsri finnovate",1
"Artificial intelligence","ktb ventures",1
"Consumer & retail","l capital partners",1
"E-commerce & direct-to-consumer","l catterton",2
"E-commerce & direct-to-consumer","l'occitane",1
"Fintech","lakestar",1
"Internet software & services","lakestar",1
"Supply chain, logistics, & delivery","lakestar",1
"Travel","lakestar",1
"Supply chain, logistics, & delivery","launchpad venture group",1
"Internet software & services","lead edge capital",1
"Cybersecurity","leaders fund",1
"Fintech","leapfrog investments",1
"Fintech","left lane capital",4
"Edtech","left lane capital",1
"Auto & transportation","legend capital",1
"E-commerce & direct-to-consumer","legend capital",1
"Mobile & telecommunications","legend capital",1
"Edtech","legend star",1
"Internet software & services","lemniscap vc",1
"Artificial intelligence","lenovo capital and incubator",1
"Other","leonardo dicaprio",1
"Fintech","lerer hippeau",2
"Artificial intelligence","lerer hippeau",1
"Hardware","lerer hippeau",1
"Health","lgt capital partners",1
"Fintech","liberty city ventures",1
"Cybersecurity","liberty global ventures",1
"Internet software & services","liberty gloval ventures",1
"Cybersecurity","liberty strategic capital",1
"Fintech","light street capital",1
"Health","lightbank",1
"E-commerce & direct-to-consumer","lightbox ventures",1
"Supply chain, logistics, & delivery","lightrock",1
"Artificial intelligence","lightspeed china partners",1
"Internet software & services","lightspeed india partners",2
"Edtech","lightspeed india partners",1
"Travel","lightspeed india partners",1
"Edtech","lightspeed venture capital",1
"Internet software & services","lightspeed venture partners",9
"Cybersecurity","lightspeed venture partners",6
"Data management & analytics","lightspeed venture partners",5
"Fintech","lightspeed venture partners",3
"Artificial intelligence","lightspeed venture partners",2
"Health","lightspeed venture partners",2
"Consumer & retail","lightspeed venture partners",1
"E-commerce & direct-to-consumer","lightspeed venture partners",1
"Mobile & telecommunications","lightspeed venture partners",1
"Supply chain, logistics, & delivery","lightspeed venture partners",1
"Travel","lightspeed venture partners",1
"Health","lindeman asia investment",1
"Internet software & services","linear venture",2
"Artificial intelligence","linear venture",1
"Auto & transportation","linear venture",1
"Hardware","linear venture",1
"Fintech","localglobe",1
"Travel","localglobe",1
"Other","lockheed martin ventures",1
"E-commerce & direct-to-consumer","loeb.nyc",1
"E-commerce & direct-to-consumer","lone pine capital",1
"Consumer & retail","longfor capitalm",1
"Health","longitude capital",1
"Cybersecurity","lowercase capital",1
"Internet software & services","lowercase capital",1
"Fintech","lowercasecapital",1
"Auto & transportation","ltw capital",1
"Internet software & services","lupa systems",1
"Data management & analytics","lux capital",2
"Fintech","lux capital",1
"Internet software & services","m12",3
"Cybersecurity","m12",2
"Hardware","m12",1
"Health","m12",1
"E-commerce & direct-to-consumer","m13",1
"Fintech","mac venture capital",1
"Artificial intelligence","madera technology partners",1
"Internet software & services","madrona venture group",3
"Artificial intelligence","madrona venture group",1
"Data management & analytics","madrona venture group",1
"Supply chain, logistics, & delivery","madrona venture group",1
"Internet software & services","madrone capital partners",1
"Supply chain, logistics, & delivery","maersk growth",1
"Mobile & telecommunications","magma venture partners",1
"Mobile & telecommunications","makers fund",1
"Fintech","mangrove capital partners",1
"Health","mangrove capital partners",1
"Artificial intelligence","maniv mobility",1
"Artificial intelligence","march capital partners",3
"E-commerce & direct-to-consumer","marchmont ventures",1
"Fintech","marcy venture partners",1
"E-commerce & direct-to-consumer","matrix partners",7
"Internet software & services","matrix partners",4
"Data management & analytics","matrix partners",2
"Auto & transportation","matrix partners",1
"Consumer & retail","matrix partners",1
"Edtech","matrix partners",1
"Fintech","matrix partners",1
"Hardware","matrix partners",1
"Other","matrix partners",1
"Supply chain, logistics, & delivery","matrix partners",1
"Travel","matrix partners",1
"Internet software & services","maverick capital",1
"Health","maverick ventures",1
"Edtech","maveron",1
"Health","maveron",1
"Health","max ventures",1
"Other","mayfair equity partners",1
"Internet software & services","mayfield",1
"E-commerce & direct-to-consumer","mayfield fund",2
"Internet software & services","mayfield fund",2
"Health","mckesson ventures",1
"Consumer & retail","meituan dianping",1
"Hardware","meituan dianping",1
"Fintech","menlo ventures",6
"Cybersecurity","menlo ventures",1
"Internet software & services","menlo ventures",1
"Internet software & services","menloventures",1
"Health","merieux equity partners",1
"Internet software & services","meritech capital partners",2
"Fintech","meritech capital partners",1
"E-commerce & direct-to-consumer","merrysunny wealth",1
"E-commerce & direct-to-consumer","mhs capital",1
"Fintech","microsoft",1
"Supply chain, logistics, & delivery","microsoft scaleup",1
"Supply chain, logistics, & delivery","mindworks ventures",1
"E-commerce & direct-to-consumer","mithril",1
"Fintech","mithril capital management",1
"Other","mitsubishi corporation",1
"Artificial intelligence","mizuho financial group",1
"Supply chain, logistics, & delivery","mmc ventures",1
"Fintech","mobai capital",1
"Fintech","monashees+",3
"E-commerce & direct-to-consumer","monashees+",2
"Cybersecurity","moonshots capital",1
"Artificial intelligence","moore capital management",1
"E-commerce & direct-to-consumer","moore strategic ventures",1
"Cybersecurity","morevc",1
"Fintech","morgan creek digital",1
"Health","morningside group",1
"Mobile & telecommunications","morningside venture capital",2
"Artificial intelligence","morningside venture capital",1
"E-commerce & direct-to-consumer","morningside ventures",1
"Travel","morningside ventures",1
"Fintech","motive partners. apollo global management",1
"E-commerce & direct-to-consumer","mountain nazca",1
"Supply chain, logistics, & delivery","movile",1
"Internet software & services","msa capital",1
"E-commerce & direct-to-consumer","mubadala capital",1
"Supply chain, logistics, & delivery","mubadala capital",1
"Data management & analytics","multicoin capital",1
"Fintech","munich re ventures",3
"Artificial intelligence","munich re ventures",1
"Mobile & telecommunications","n5 capital",1
"Supply chain, logistics, & delivery","naspers",1
"Artificial Intelligence","national grid partners",1
"Internet software & services","navitas capital",1
"Mobile & telecommunications","net1 ueps technologies",1
"Fintech","netease capital",1
"Health","new enterprise associates",4
"Internet software & services","new enterprise associates",4
"Artificial intelligence","new enterprise associates",3
"Fintech","new enterprise associates",3
"Data management & analytics","new enterprise associates",2
"E-commerce & direct-to-consumer","new enterprise associates",2
"Cybersecurity","new enterprise associates",1
"Edtech","new enterprise associates",1
"Mobile & telecommunications","new enterprise associates",1
"Other","new enterprise associates",1
"Travel","new enterprise associates",1
"Internet software & services","new era ventures",1
"E-commerce & direct-to-consumer","new horizon capital",1
"Health","new leaf venture partners",1
"Fintech","newalpha",1
"Fintech","newion partners",1
"Health","newpath partners",1
"Edtech","newview capital",1
"E-commerce & direct-to-consumer","next coast ventures",1
"Fintech","next play ventures",1
"Artificial intelligence","next world capital",1
"Internet software & services","next world capital",1
"Cybersecurity","next47",1
"Fintech","next47",1
"Supply chain, logistics, & delivery","next47",1
"Health","nextech invest",1
"E-commerce & direct-to-consumer","nextview ventures",2
"Mobile & telecommunications","nextview ventures",1
"Internet software & services","nexus venture partners",2
"Data management & analytics","nexus venture partners",2
"Artificial intelligence","nexus venture partners",1
"Edtech","nexus venture partners",1
"E-commerce & direct-to-consumer","nexus venture partners",1
"Supply chain, logistics, & delivery","nexus venture partners",1
"Supply chain, logistics, & delivery","ngp capital",1
"Health","nichi-iko pharmaceutical",1
"Fintech","nightdragon security",1
"Artificial Intelligence","nine intelligence capital",1
"Mobile & telecommunications","nintendo",1
"E-commerce & direct-to-consumer","nio capital",1
"Health","nio capital",1
"Artificial Intelligence","njf capital",1
"500 Global, Rakuten Ventures, Golden Gate Ventures","none",1
"Andreessen Horowitz, DST Global, IDG Capital","none",1
"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution","none",1
"Hopu Investment Management, Boyu Capital, DC Thomson Ventures","none",1
"Jungle Ventures, Accel, Venture Highway","none",1
"Kuang-Chi","none",1
"Mobile & telecommunications","none",1
"Mundi Ventures, Doqling Capital Partners, Activant Capital","none",1
"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund","none",1
"Sequoia Capital China, Shunwei Capital Partners, Qualgro","none",1
"Sequoia Capital, Thoma Bravo, Softbank","none",1
"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures","none",1
"Temasek, Guggenheim Investments, Qatar Investment Authority","none",1
"Tiger Global Management, Tiger Brokers, DCM Ventures","none",1
"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures","none",1
"Vision Plus Capital, GSR Ventures, ZhenFund","none",1
"Cybersecurity","nor-cal invest",1
"Supply chain, logistics, & delivery","nordstar",1
"Internet software & services","norma investments",1
"Internet software & services","north bridge growth equity",1
"Internet software & services","north island ventures",1
"Artificial intelligence","northern light venture capital",1
"Fintech","northern light venture capital",1
"Mobile & telecommunications","northern light venture capital",1
"Fintech","northzone ventures",2
"Health","northzone ventures",1
"Supply chain, logistics, & delivery","northzone ventures",1
"Travel","northzone ventures",1
"Internet software & services","nortzone ventures",1
"Internet software & services","norwest venture partners",3
"Supply chain, logistics, & delivery","norwest venture partners",3
"Artificial intelligence","norwest venture partners",2
"Data management & analytics","norwest venture partners",2
"E-commerce & direct-to-consumer","norwest venture partners",2
"Consumer & retail","norwest venture partners",1
"Cybersecurity","norwest venture partners",1
"Fintech","norwest venture partners",1
"Other","norwest venture partners",1
"Internet software & services","noshaq",1
"Health","not boring capital",1
"Fintech","notion capital",1
"E-commerce & direct-to-consumer","novator partners",1
"Travel","novator partners",1
"E-commerce & direct-to-consumer","nxc",1
"Internet software & services","nyca partners",1
"Fintech","oak hc/ft partners",2
"Health","oak hc/ft partners",1
"Fintech","oak investment partners",1
"Hardware","obvious ventures",1
"Health","obvious ventures",1
"Edtech","oceanwide holdings",1
"Fintech","octopus ventures",1
"Other","olx group",1
"Internet software & services","omers private equity",1
"Fintech","omers ventures",3
"Travel","omers ventures",1
"Edtech","omidyar network",1
"Internet software & services","omidyar network",1
"E-commerce & direct-to-consumer","ondine capital",1
"Mobile & telecommunications","one equity partners",1
"Consumer & retail","one luxury group",1
"Data management & analytics","one peak partners",1
"Internet software & services","openview venture partners",2
"Fintech","operator collective",1
"Health","optum ventures",1
"Data management & analytics","opus capital",1
"Internet software & services","orange digital ventures",1
"Health","orbimed advisors",2
"Fintech","oriental fortune capital",1
"Internet software & services","origin ventures",1
"Supply chain, logistics, & delivery","origin ventures",1
"Artificial intelligence","oriza holdings",1
"Artificial intelligence","oryzn capital",1
"Auto & transportation","otter rock capital",1
"Edtech","owl ventures",1
"Internet software & services","owl ventures",1
"Cybersecurity","paladin capital group",1
"Fintech","pantera capital",2
"Cybersecurity","pantera capital",1
"Internet software & services","pantera capital",1
"Cybersecurity","paradigm",1
"Fintech","paradigm",1
"E-commerce & direct-to-consumer","partech partners",1
"Supply chain, logistics, & delivery","partech partners",1
"Travel","partners investment",1
"Fintech","passion capital",2
"E-commerce & direct-to-consumer","passport capital",1
"Fintech","paypal ventures",3
"Mobile & telecommunications","pear",1
"Fintech","pelion venture partners",2
"Cybersecurity","pelion venture partners",1
"Auto & transportation","people electrical appliance group china",1
"Supply chain, logistics, & delivery","pereg ventures",1
"Data management & analytics","perpetual investors",1
"Fintech","peterson ventures",1
"Internet software & services","picus capital",1
"Internet software & services","ping an insurance",1
"Artificial intelligence","pitango venture capital",1
"Auto & transportation","pitango venture capital",1
"Hardware","pitango venture capital",1
"Internet software & services","pitango venture capital",1
"Mobile & telecommunications","pitango venture capital",1
"E-commerce & direct-to-consumer","piton capital",1
"Hardware","playground global",2
"Other","playground global",1
"Edtech","plug and play ventures",1
"Fintech","plug and play ventures",1
"Fintech","point nine capital",1
"Fintech","point72 ventures",2
"Artificial intelligence","point72 ventures",1
"Mobile & telecommunications","pokemon company international",1
"Fintech","polaris partners",1
"Internet software & services","polaris partners",1
"Fintech","polychain capital",2
"Internet software & services","polychain capital",2
"Fintech","portag3 ventures",1
"E-commerce & direct-to-consumer","premjiinvest",1
"Internet software & services","presidio ventures",1
"Internet software & services","pritzker group venture capital",2
"Other","promecap",1
"Supply chain, logistics, & delivery","prometheus capital",1
"E-commerce & direct-to-consumer","promus ventures",1
"Fintech","propel venture partners",1
"E-commerce & direct-to-consumer","prosus ventures",2
"Internet software & services","prosus ventures",2
"Supply chain, logistics, & delivery","prosus ventures",1
"Internet software & services","providence equity partners",2
"Health","providence ventures",1
"E-commerce & direct-to-consumer","prysm capital",1
"Internet software & services","psg",2
"Fintech","puc",1
"Fintech","qatar investment authority",1
"Fintech","qed investors",5
"Artificial intelligence","qed investors",1
"E-commerce & direct-to-consumer","qed investors",1
"Internet software & services","qed investors",1
"Auto & transportation","qihoo 360 technology",1
"Artificial Intelligence","qiming venture partners",3
"Auto & transportation","qiming venture partners",2
"Edtech","qiming venture partners",2
"Health","qiming venture partners",2
"Mobile & telecommunications","qiming venture partners",2
"E-commerce & direct-to-consumer","qiming venture partners",1
"Hardware","qiming venture partners",1
"Travel","qiming venture partners",1
"Travel","qiming venture partnersl",1
"Supply chain, logistics, & delivery","quadrille capital",1
"Artificial intelligence","qualcomm ventures",2
"Fintech","qualcomm ventures",2
"Auto & transportation","qualcomm ventures",1
"E-commerce & direct-to-consumer","qualcomm ventures",1
"Edtech","qualcomm ventures",1
"Hardware","qualcomm ventures",1
"Health","qualcomm ventures",1
"Internet software & services","qualcomm ventures",1
"Mobile & telecommunications","qualcomm ventures",1
"Supply chain, logistics, & delivery","qualcomm ventures",1
"Internet software & services","quantum energy partners",1
"Health","questa capital",1
"Fintech","quiet capital",1
"Mobile & telecommunications","qumra capital",1
"Fintech","quona capital",1
"Hardware","r-z capital",1
"Auto & transportation","rakuten",1
"Other","raven one ventures",1
"Consumer & retail","redalpine venture partners",1
"Fintech","redalpine venture partners",1
"Other","redbird capital partners",1
"E-commerce & direct-to-consumer","redpoint e.ventures",1
"Supply chain, logistics, & delivery","redpoint e.ventures",1
"Internet software & services","redpoint ventures",4
"Cybersecurity","redpoint ventures",2
"Mobile & telecommunications","redpoint ventures",2
"Data management & analytics","redpoint ventures",1
"E-commerce & direct-to-consumer","redpoint ventures",1
"Health","redpoint ventures",1
"Fintech","redpoint ventures china",1
"Hardware","redpoint ventures china",1
"Mobile & telecommunications","refactor capital",1
"Other","refactor capital",1
"Fintech","relay ventures",1
"Internet software & services","rembrandt venture partners",2
"Fintech","resolute ventures",1
"Health","rethink impact",1
"E-commerce & direct-to-consumer","revo capital",1
"Artificial intelligence","revolution",1
"Mobile & telecommunications","revolution growth",1
"Other","revolution growth",1
"Artificial intelligence","revolution ventures",1
"E-commerce & direct-to-consumer","rho ventures",1
"Other","rhone capital",1
"Fintech","ribbit capital",8
"E-commerce & direct-to-consumer","rich land capital",1
"E-commerce & direct-to-consumer","richland equities",1
"Edtech","ridge ventures",1
"Auto & transportation","riverpark ventures",1
"Other","riverpark ventures",1
"Internet software & services","riverwood capital",1
"Supply chain, logistics, & delivery","robert bosch venture capital",1
"Internet software & services","rocketship.vc",1
"Other","rothenberg ventures",1
"Fintech","route 66 ventures",1
"Fintech","rpm ventures",1
"Artificial intelligence","rre ventures",1
"Health","rre ventures",1
"Internet software & services","rre ventures+",1
"Internet software & services","rtp global",1
"Fintech","runa capital",1
"Other","rusnano",1
"Artificial intelligence","russia-china investment fund",1
"Cybersecurity","s capital",1
"Cybersecurity","s28 capital",1
"Supply chain, logistics, & delivery","saif partners",1
"E-commerce & direct-to-consumer","saif partners china",1
"Hardware","saif partners china",1
"E-commerce & direct-to-consumer","saif partners india",1
"Supply chain, logistics, & delivery","saif partners india",1
"Internet software & services","salesforce ventures",3
"Data management & analytics","salesforce ventures",2
"Fintech","salesforce ventures",1
"Supply chain, logistics, & delivery","salesforce ventures",1
"Health","samsung ventures",1
"Other","samsung ventures",1
"Health","sands capital",1
"Mobile & telecommunications","sands capital",1
"Supply chain, logistics, & delivery","sands capital",1
"Cybersecurity","sap.io fund",1
"Data management & analytics","sapphire ventures",2
"Artificial intelligence","sapphire ventures",1
"Internet software & services","sapphire ventures",1
"Fintech","sbi investment",2
"Travel","sbi investment korea",1
"Health","sc.holdings",1
"Cybersecurity","scale venture partners",3
"Data management & analytics","scale venture partners",1
"Hardware","scale venture partners",1
"Supply chain, logistics, & delivery","scale venture partners",1
"Supply chain, logistics, & delivery","scb 10x",1
"Fintech","scentan ventures",1
"Fintech","schonfeld strategic advisors",1
"Fintech","scifi vc",1
"Auto & transportation","sdic cmc investment management",1
"Supply chain, logistics, & delivery","sdic cmc investment management",1
"Auto & transportation","sdic innovation investment management",1
"Hardware","sdp investment",1
"Auto & transportation","seaya ventures",1
"Fintech","seb venture capital",1
"Internet software & services","section 32",1
"Fintech","seed capital",1
"Fintech","seedcamp",1
"Internet software & services","seek",1
"Supply chain, logistics, & delivery","septwolves ventures",1
"Internet software & services","sequoia capital",18
"E-commerce & direct-to-consumer","sequoia capital",16
"Fintech","sequoia capital",13
"Artificial intelligence","sequoia capital",10
"Edtech","sequoia capital",7
"Hardware","sequoia capital",6
"Health","sequoia capital",6
"Data management & analytics","sequoia capital",5
"Supply chain, logistics, & delivery","sequoia capital",5
"Cybersecurity","sequoia capital",4
"Other","sequoia capital",4
"Consumer & retail","sequoia capital",3
"Mobile & telecommunications","sequoia capital",3
"Travel","sequoia capital",2
"Auto & transportation","sequoia capital",1
"Supply chain, logistics, & delivery","sf holding co",1
"Auto & transportation","shang qi capital",1
"Auto & transportation","shanghai electric group",1
"Auto & transportation","shanghai puyin industry",1
"E-commerce & direct-to-consumer","shasta ventures",1
"Internet software & services","shasta ventures",1
"Artificial intelligence","shea ventures",1
"Fintech","shea ventures",1
"E-commerce & direct-to-consumer","shenzhen capital group",1
"Fintech","shenzhen capital group",1
"Supply chain, logistics, & delivery","shenzhen capital group",1
"Edtech","shenzhen qianhe capital management co.",1
"Mobile & telecommunications","sherpalo ventures",1
"Auto & transportation","shunwei capital partners",1
"E-commerce & direct-to-consumer","shunwei capital partners",1
"Fintech","shunwei capital partners",1
"Mobile & telecommunications","shunwei capital partners",1
"Supply chain, logistics, & delivery","shunwei capital partners",1
"E-commerce & direct-to-consumer","siam commercial bank",1
"E-commerce & direct-to-consumer","sierra ventures",1
"Health","sierra ventures",1
"Internet software & services","sierra ventures",1
"Mobile & telecommunications","sierra ventures",1
"Consumer & retail","sig",2
"Artificial intelligence","sig",1
"Auto & transportation","sig",1
"Edtech","sig",1
"Health","sig",1
"Internet software & services","sig",1
"Supply chain, logistics, & delivery","sig",1
"Internet software & services","silicon valley bank",1
"Internet software & services","silver lake",2
"Health","silver lake",1
"Other","silver lake partners",1
"Edtech","silverlink capital",1
"Internet software & services","silversmith capital partners",4
"Data management & analytics","silversmith capital partners",1
"E-commerce & direct-to-consumer","silverton partners",1
"Internet software & services","simon equity partners",1
"Artificial intelligence","sina weibo",1
"Mobile & telecommunications","sina weibo",1
"Cybersecurity","singtel innov8",1
"Other","singulariteam",1
"Artificial intelligence","sinovation ventures",1
"Edtech","sinovation ventures",1
"Artificial intelligence","sixth street growth",1
"Health","sixth street partners",1
"Other","sk ventures",1
"Cybersecurity","skip capital",1
"Cybersecurity","slack fund",1
"Cybersecurity","slow ventures",1
"Fintech","slow ventures",1
"Fintech","smartfin capital",1
"Other","smash ventures",1
"Artificial intelligence","smilegate investment",1
"Artificial intelligence","social capital",1
"Cybersecurity","social capital",1
"Mobile & telecommunications","social capital",1
"Fintech","socii capital",1
"Fintech","sodexo ventures",1
"Internet software & services","sofinnova partners",1
"E-commerce & direct-to-consumer","softbank",15
"Fintech","softbank",10
"Supply chain, logistics, & delivery","softbank",5
"Internet software & services","softbank",4
"Artificial intelligence","softbank",3
"Auto & transportation","softbank",2
"Cybersecurity","softbank",2
"Consumer & retail","softbank",1
"Data management & analytics","softbank",1
"Edtech","softbank",1
"Health","softbank",1
"Mobile & telecommunications","softbank",1
"Other","softbank",1
"Travel","softbank",1
"E-commerce & direct-to-consumer","sogal ventures",1
