"industry","investor","Unicorn_Count"
"Fintech","ayala corporation",1
"Fintech","b capital group",1
"Health","b capital group",1
"Other","ba capital",1
"E-commerce & direct-to-consumer","baidu",2
"Edtech","baidu",1
"Hardware","baidu",1
"Internet software & services","baidu",1
"Auto & transportation","baidu capital",1
"Artificial intelligence","baidu ventures",1
"Artificial intelligence","baillie gifford & co.",1
"E-commerce & direct-to-consumer","baillie gifford & co.",1
"Supply chain, logistics, & delivery","baillie gifford & co.",1
"Artificial intelligence","bain & company",1
"E-commerce & direct-to-consumer","bain capital",1
"Fintech","bain capital credit",1
"Data management & analytics","bain capital tech opportunities",1
"Internet software & services","bain capital tech opportunities",1
"Data management & analytics","bain capital ventures",3
"Internet software & services","bain capital ventures",2
"Artificial intelligence","bain capital ventures",1
"Cybersecurity","bain capital ventures",1
"E-commerce & direct-to-consumer","balderton capital",2
"Fintech","balderton capital",2
"Internet software & services","balderton capital",2
"Travel","balderton capital",1
"Fintech","baleen capital",1
"E-commerce & direct-to-consumer","ballast point ventures",1
"Artificial intelligence","bank of china",1
"Auto & transportation","bank of china group investment",1
"Supply chain, logistics, & delivery","banner ventures",1
"Artificial intelligence","banyan capital",1
"E-commerce & direct-to-consumer","banyan capital",1
"Other","barter ventures",1
"Internet software & services","baseline ventures",1
"Data management & analytics","battery ventures",4
"Internet software & services","battery ventures",4
"Artificial intelligence","battery ventures",3
"Cybersecurity","battery ventures",1
"E-commerce & direct-to-consumer","battery ventures",1
"Health","battery ventures",1
"Travel","battery ventures",1
"Fintech","bbva",1
"Cybersecurity","bdc venture capital",1
"Internet software & services","bdt capital partners",1
"Supply chain, logistics, & delivery","beco capital",1
"Internet software & services","bedrock capital",1
"Other","bedrock capital",1
"Fintech","beenext",2
"Internet software & services","beenext",1
"Internet software & services","beijing juneng hesheng industry investment fund",1
"Internet software & services","beijing shuju xinrong fund",1
"Internet software & services","benchmark",5
"Data management & analytics","benchmark",1
"E-commerce & direct-to-consumer","benchmark",1
"Fintech","benchmark",1
"Hardware","benchmark",1
"Other","benchmark",1
"Fintech","benhcmark",1
"Consumer & retail","berkshire partners",1
"Health","bertelsmann asia investments",1
"Mobile & telecommunications","bertelsmann asia investments",1
"E-commerce & direct-to-consumer","bertelsmann india investments",1
"Edtech","bertelsmann india investments",1
"Internet software & services","bessemer venture partners",8
"Fintech","bessemer venture partners",3
"Cybersecurity","bessemer venture partners",2
"Data management & analytics","bessemer venture partners",2
"Other","bessemer venture partners",2
"Artificial intelligence","bessemer venture partners",1
"E-commerce & direct-to-consumer","bessemer venture partners",1
"Mobile & telecommunications","bessemer venture partners",1
"Supply chain, logistics, & delivery","bessemer venture partners",1
"Fintech","bezos expeditions",1
"Supply chain, logistics, & delivery","bgf ventures",1
"Artificial intelligence","big bets",1
"Fintech","bitmain technologies",1
"Internet software & services","blackbird ventures",3
"Fintech","blackrock",4
"E-commerce & direct-to-consumer","blackrock",3
"Artificial intelligence","blackrock",1
"Data management & analytics","blackrock",1
"Hardware","blackrock",1
"Internet software & services","blackrock",1
"Other","blackrock",1
"Supply chain, logistics, & delivery","blackrock",1
"Internet software & services","blackstone",3
"Supply chain, logistics, & delivery","blackstone",3
"Cybersecurity","blackstone",1
"Edtech","blackstone",1
"Fintech","blackstone",1
"Health","blackstone",1
"Fintech","bling capital",1
"Fintech","blockchain capital",2
"Fintech","blocktower capital",1
"Internet software & services","bloomberg beta",1
"Supply chain, logistics, & delivery","bloomberg beta",1
"Cybersecurity","blu venture investors",1
"Internet software & services","blue cloud ventures",2
"Mobile & telecommunications","blue label telecoms",1
"Mobile & telecommunications","blue lake capital",1
"Health","bluecross blueshield venture partners",1
"E-commerce & direct-to-consumer","blueflame capital",1
"Hardware","bluerun ventures",1
"Cybersecurity","blumberg capital",1
"Fintech","blumberg capital",1
"Internet software & services","blumberg capital",1
"Edtech","blume ventures",1
"Fintech","blume ventures",1
"Fintech","bmo capital",1
"E-commerce & direct-to-consumer","bmw i ventures",1
"Fintech","bnk to the future",1
"Fintech","bnp paribas",1
"Artificial intelligence","boc international",1
"Fintech","bojiang capital",1
"Cybersecurity","boldstart ventures",2
"Fintech","boldstart ventures",1
"Health","bolt ventures",1
"Other","bond",2
"E-commerce & direct-to-consumer","bond",1
"Hardware","bond",1
"Internet software & services","bond",1
"Internet software & services","bond capital",1
"Internet software & services","bonfire ventures",1
"Consumer & retail","borui capital",1
"Fintech","bow wave capital",1
"Cybersecurity","boxgroup",1
"Data management & analytics","boxin capital",1
"Consumer & retail","boyu capital",1
"Supply chain, logistics, & delivery","boyu capital",1
"Other","bp ventures",1
"Health","bpi france",1
"Other","breakthrough energy ventures",2
"Hardware","breega capital",1
"Other","bregal sagemount",1
"Internet software & services","breyer capital",1
"E-commerce & direct-to-consumer","bright venture capita",1
"Internet software & services","brighton park capital",1
"Fintech","british patient capital",1
"Health","brookfield asset management",1
"Other","broom ventures",1
"E-commerce & direct-to-consumer","burda principal investments",1
"Other","c5 capital",1
"Fintech","cadenza ventures",1
"Fintech","caffeinated capital",2
"Other","caffeinated capital",2
"Health","caffeinated capital",1
"Internet software & services","caffeinated capital",1
"Fintech","caisse de depot et placement du quebec",1
"Health","cambridge innovation capital",1
"Internet software & services","canaan partners",2
"Edtech","canaan partners",1
"Health","canaan partners",1
"Fintech","canapi ventures",2
"Travel","capital one growth ventures",1
"Travel","capital today",2
"Other","capital today",1
"Internet software & services","capitalg",7
"Fintech","capitalg",7
"Supply chain, logistics, & delivery","capitalg",5
"E-commerce & direct-to-consumer","capitalg",3
"Data management & analytics","capitalg",2
"Health","capitalg",2
"Artificial Intelligence","capitalg",2
"Other","capitalg",2
"Cybersecurity","capitalg",1
"Hardware","capitalg",1
"Mobile & telecommunications","capitalg",1
"Other","capricorn investment group",1
"Internet software & services","carlson private capital partners",1
"Fintech","carrick capital partners",1
"Other","carsales",1
"E-commerce & direct-to-consumer","casa verde capital",1
"Health","casdin capital",1
"Artificial intelligence","caterpillar",1
"Artificial Intelligence","cathay innovation",1
"E-commerce & direct-to-consumer","causeway media partners",1
"E-commerce & direct-to-consumer","cdh investments",1
"Hardware","cdh investments",1
"Mobile & telecommunications","cdh investments",1
"Consumer & retail","cdib capital",1
"Supply chain, logistics, & delivery","ce-ventures",1
"Hardware","cedarlake capital",1
"Hardware","centurium capital",1
"Fintech","charoen pokphand group",1
"Health","charter venture capital",1
"Mobile & telecommunications","chengwei capital",1
"E-commerce & direct-to-consumer","cherry ventures",1
"Supply chain, logistics, & delivery","cherry ventures",1
"Fintech","chicago ventures",1
"Supply chain, logistics, & delivery","chicago ventures",1
"Mobile & telecommunications","china broadband capital",1
"Consumer & retail","china capital investment group",1
"Artificial intelligence","china construction bank",1
"Mobile & telecommunications","china creation ventures",1
"Health","china development bank capital",1
"Auto & transportation","china environmental protection industry",1
"Data management & analytics","china everbright investment management",1
"Hardware","china everbright limited",1
"Auto & transportation","china fortune land development",1
"Auto & transportation","china fortune ocean",1
"Health","china health industry investment fund",1
"Hardware","china international capital corporation",1
"Artificial intelligence","china internet investment fund",1
"Health","china investment corporation",1
"Health","china life insurance",1
"Auto & transportation","china media group",1
"Fintech","china media group",1
"Edtech","china minsheng investment",1
"Other","china prosperity capital",1
"Fintech","china reform fund",1
"Health","china renaissance",1
"Auto & transportation","china state capital venture capital fund",1
"E-commerce & direct-to-consumer","chiratae ventures",2
"Artificial Intelligence","chiratae ventures",1
"Health","chiratae ventures",1
"Supply chain, logistics, & delivery","chromo invest",1
"Fintech","chuanrong capital",1
"Fintech","citi ventures",2
"Travel","citi ventures",1
"Health","citic securities international",1
"Other","cj enm",1
"Artificial intelligence","claltech",2
"Fintech","clermont group",1
"Fintech","clocktower technology ventures",2
"Consumer & retail","cmb international capital",1
"Internet software & services","cmc capital partners",1
"Fintech","cmfg ventures",1
"Supply chain, logistics, & delivery","co-energy finance",1
"Fintech","coatue management",6
"Internet software & services","coatue management",3
"Cybersecurity","coatue management",2
"E-commerce & direct-to-consumer","coatue management",2
"Health","coatue management",2
"Hardware","coatue management",1
"Edtech","coatue management",1
"Data management & analytics","coatue management",1
"Other","coatue management",1
"Supply chain, logistics, & delivery","coatue management",1
"Internet software & services","coatue managemeny",1
"Internet software & services","cobalt capital",1
"Fintech","cocnord health partners",1
"Fintech","coinbase ventures",4
"Supply chain, logistics, & delivery","collaborative fund",1
"Fintech","coltrane asset management",1
"E-commerce & direct-to-consumer","comcast ventures",2
"Internet software & services","comcast ventures",2
"Cybersecurity","commerce ventures",3
"Fintech","commerce ventures",1
"Fintech","commerzventures",1
"E-commerce & direct-to-consumer","company k partners",1
"Fintech","connect ventures",2
"Fintech","consensys ventures",1
"Internet software & services","contour venture partners",1
"Other","cool japan fund",1
"Internet software & services","core capital partners",1
"Edtech","costanoa ventures",1
"Internet software & services","costanoa ventures",1
"Cybersecurity","cowboy ventures",1
"Mobile & telecommunications","cowboy ventures",1
"Fintech","cox enterprises",1
"Fintech","cpp investment board",1
"Mobile & telecommunications","cr capital mgmt",1
"Fintech","craft ventures",1
"Internet software & services","craft ventures",1
"Artificial intelligence","crane venture partners",1
"Fintech","cre venture capital",1
"Internet software & services","cre venture capital",1
"Fintech","creandum",2
"Data management & analytics","creandum",1
"Health","creandum",1
"E-commerce & direct-to-consumer","creditease fintech investment fund",1
"Fintech","crossbeam venture partners",1
"Fintech","crosslink capital",2
"Data management & analytics","crosslink capital",1
"Internet software & services","crosslink capital",1
"Consumer & retail","crowdcube",1
"Internet software & services","crv",8
"Artificial intelligence","crv",1
"Cybersecurity","crv",1
"Fintech","cvc capital partners",1
"Health","cvf capital partners",1
"Cybersecurity","cyberstarts",1
"E-commerce & direct-to-consumer","d1 capita partners",1
"Fintech","d1 capital partners",2
"Artificial intelligence","d1 capital partners",1
"E-commerce & direct-to-consumer","d1 capital partners",1
"Internet software & services","d1 capital partners",1
"Internet software & services","danhua capital",1
"Other","danone manifesto ventures",1
